Status,Predicted_Final_Status,Probability_Dropout,Probability_Graduate
Enrolled,Dropout,0.9566605197146496,0.04333948028535035
Enrolled,Graduate,0.1612296602653298,0.8387703397346697
Enrolled,Graduate,0.14314518208985008,0.8568548179101496
Enrolled,Graduate,0.43962926255235585,0.5603707374476443
Enrolled,Graduate,0.15922821118507502,0.8407717888149248
Enrolled,Graduate,0.07297967009186684,0.9270203299081332
Enrolled,Graduate,0.4617313959477034,0.5382686040522967
Enrolled,Dropout,0.910492793998144,0.08950720600185605
Enrolled,Dropout,0.8495824876463267,0.15041751235367332
Enrolled,Graduate,0.1009083103354012,0.8990916896645988
Enrolled,Dropout,0.6236990317936977,0.37630096820630243
Enrolled,Dropout,0.5103372904126228,0.4896627095873773
Enrolled,Dropout,0.5856226245215547,0.4143773754784454
Enrolled,Dropout,0.864048838041555,0.13595116195844523
Enrolled,Dropout,0.9953615702479339,0.0046384297520661154
Enrolled,Graduate,0.353965210246913,0.646034789753087
Enrolled,Dropout,0.9886797755818193,0.011320224418180841
Enrolled,Dropout,0.5989260546678608,0.4010739453321393
Enrolled,Graduate,0.12455795496589853,0.8754420450341013
Enrolled,Dropout,0.9873323945261622,0.01266760547383784
Enrolled,Dropout,0.6520063431540616,0.3479936568459384
Enrolled,Graduate,0.1152335621508364,0.8847664378491636
Enrolled,Dropout,0.5675579437882884,0.43244205621171167
Enrolled,Dropout,0.7769471230855711,0.2230528769144289
Enrolled,Graduate,0.07008949632765966,0.929910503672341
Enrolled,Dropout,0.6650179915418581,0.33498200845814163
Enrolled,Dropout,0.9307801843888832,0.06921981561111672
Enrolled,Graduate,0.1171481857308151,0.882851814269185
Enrolled,Graduate,0.07661477214809814,0.923385227851902
Enrolled,Dropout,0.9898041929386913,0.010195807061308744
Enrolled,Dropout,0.5115198820334552,0.48848011796654467
Enrolled,Dropout,0.6189090590581342,0.3810909409418659
Enrolled,Dropout,0.979230838162502,0.020769161837498062
Enrolled,Dropout,0.7202746537148014,0.2797253462851991
Enrolled,Graduate,0.2907875325486035,0.7092124674513964
Enrolled,Graduate,0.11518303536540077,0.8848169646345991
Enrolled,Dropout,0.8252368574624597,0.17476314253754033
Enrolled,Dropout,0.9691587029499341,0.030841297050066014
Enrolled,Dropout,0.8015590339626002,0.19844096603740002
Enrolled,Graduate,0.12683538654724968,0.8731646134527504
